No,Categories,Product,Unit,Price
115,Spices,"Seasonal salt",UNIT,7.70
116,"Instant noodles","Instant noddles chicken(individual) ",UNIT,1.65
117,"Instant noodles","Instant noddles schrimps(individual) ",UNIT,1.65
118,"Instant noodles","Rice noddles (450 gm pkt)",UNIT,1.65
119,"Instant noodles","Noodles sotanghon ",UNIT,1.65
120,"Canned Fruit","Apricots ",UNIT,6.15
121,"Canned Fruit",Cherries,UNIT,13.15
122,"Canned Fruit","Fruit cocktail 800 gr.",UNIT,7.45
123,"Canned Fruit","Pineapple slice 800 gr",UNIT,7.45
124,"Canned Fruit","Peaches 820 gr",UNIT,7.50
125,"Canned Fruit","Pineapples cutted 430 grm ",UNIT,5.20
126,"Fresh fruit","Apple green/red",UNIT,4.00
127,"Fresh fruit","Bananas half ripe -green",UNIT,1.10
128,"Fresh fruit","Bananas ripe",UNIT,1.15
129,"Fresh fruit","Grapes green or red ",UNIT,7.80
130,"Fresh fruit","Grape red- seedles",UNIT,7.80
131,"Fresh fruit",Kiwi,UNIT,7.75
132,"Fresh fruit",Lemons,UNIT,4.20
133,"Fresh fruit",Lime,UNIT,5.15
134,"Fresh fruit","Mandarina ",UNIT,4.75
135,"Fresh fruit","Mango ",UNIT,3.90
136,"Fresh fruit","Oranges sweet  (local)",UNIT,2.85
137,"Fresh fruit","Melons honey dew",UNIT,2.95
138,"Fresh fruit","Pears ",UNIT,5.20
139,"Fresh fruit","Pineapple ",UNIT,2.00
140,"Fresh fruit","Water melons ",UNIT,5.70
141,"Fresh fruit","Peach  ",UNIT,6.75
142,"Fresh fruit",Papaya,UNIT,2.55
143,"Fresh fruit","Plum ",UNIT,7.75
144,"Fresh fruit",Strawberry,UNIT,8.50
145,"Dried fruit","Mixed nuts salted ",UNIT,5.80
146,"Dried fruit","Mixed nuts with shell ",UNIT,4.20
147,"Dried fruit","Raisin dry",UNIT,18.70
148,"Dried fruit","Almonds flaked 907 grm pkt",UNIT,29.50
149,"Dried fruit","Whole almonds",UNIT,24.20
150,"Dried fruit","Assorted biscuits ",UNIT,10.90
151,Cookies,"Butter short bread 454 grm",UNIT,7.65
152,Cookies,"Cookies biscuits",UNIT,6.70
153,Cookies,"Digestive biscuits 176 gr",UNIT,2.90
