No;Categories;Product;Unit;Price ;;;
457;Vinegar;Vinegar white;UNIT;3.85;;;
458;Vinegar;Apple vinager 750ml ;UNIT;5.8;;;
459;Vinegar;Whte - spirit vinegar;UNIT;4.2;;;
460;wine;1 lt pack red wine;UNIT;11.45;;;
461;wine;750 ml bottle white ;UNIT;10;;;
462;wine;750 ml bottle red(gato negro brand);UNIT;10;;;
463;Vodka;Vodka sirov  btl/750ml;UNIT;14.45;;;
464;Whisky;Whisky williams lawson  btl/750ml;UNIT;13.75;;;
465;Whisky;Whisky chanceler  btl/1 ltr;UNIT;15;;;
466;Whisky;Johny walker red level 750 ml;UNIT;32;;;
467;Whisky;Johny walker black level 750 ml;UNIT;70;;;
468;Whisky;Old pair gold;UNIT;59;;;
469;Whisky;Vat 69 750 ml;UNIT;15;;;
470;Yoghurt;Yoghurt fruited assorted 125 grm ;UNIT;1.35;;;
471;Yoghurt;Yoghurt plain 125 grm;UNIT;1.35;;;
472;Yoghurt;Yoghurt mix fruite;UNIT;9.35;;;
473;Yoghurt;Yoghurt fruited assorted ;UNIT;9.35;;;
474;Yoghurt;Yoghurt plain -light;UNIT;9.35;;;
