No;Categories;Product;Unit;Price ;;;
110;Chocolate;Cooking dark chocolate bar;UNIT;23.25;;;
111;Chocolate;Nutella;UNIT;9.85;;;
112;Chocolate;M&m milk chocolate 150 gm ;UNIT;5.8;;;
113;Chocolate;M&m nuts 100 gm;UNIT;5.2;;;
114;Cigars;Marlboro red & gold;UNIT;50;;;
115;Coconut;Coconut fresh;UNIT;2.35;;;
116;Coconut;Coconut grounded;UNIT;18.2;;;
117;Coconut;Cream coconut 400ml;UNIT;7.5;;;
118;Condiments;Cinnamon powder  pkt;UNIT;12.1;;;
119;Condiments;Cinnamon whole  pkt;UNIT;8.8;;;
120;Coldcuts;Bacon smoked streaky sliced;UNIT;18.45;;;
121;Coldcuts;Mortadella;UNIT;14.9;;;
122;Coldcuts;Sausage chicken;UNIT;10.8;;;
123;Coldcuts;Sausage chorizo;UNIT;9.55;;;
124;Coldcuts;Sausage longaniza;UNIT;9.3;;;
125;Coldcuts;Salami;UNIT;14.85;;;
126;Spices;Powder chicken 450gr;UNIT;9.35;;;
127;Spices;Chili pepper grounded;UNIT;19.75;;;
128;Spices;Cloves ground;UNIT;26;;;
129;Spices;Cloves wholes;UNIT;24.15;;;
130;Spices;Coriender powder kg;UNIT;19.75;;;
131;Spices;Cumin powder;UNIT;26.35;;;
132;Spices;Curry powder;UNIT;18.1;;;
133;Spices;Pepper black grounded;UNIT;27.9;;;
134;Spices;Pepper black whole;UNIT;24.2;;;
135;Spices;Pepper cayenne grounded;UNIT;24.15;;;
136;Spices;Seasonal salt;UNIT;7.7;;;
137;Instant noodles;Instant noddles chicken(individual) ;UNIT;1.65;;;
138;Instant noodles;Instant noddles schrimps(individual) ;UNIT;1.65;;;
139;Instant noodles;Rice noddles (450 gm pkt);UNIT;1.65;;;
140;Instant noodles;Noodles sotanghon ;UNIT;1.65;;;
141;Canned Fruit;Apricots ;UNIT;6.15;;;
142;Canned Fruit;Cherries;UNIT;13.15;;;
143;Canned Fruit;Fruit cocktail 800 gr.;UNIT;7.45;;;
144;Canned Fruit;Pineapple slice 800 gr;UNIT;7.45;;;
145;Canned Fruit;Peaches 820 gr;UNIT;7.5;;;
146;Canned Fruit;Pineapples cutted 430 grm ;UNIT;5.2;;;
147;Fresh fruit;Apple green/red;UNIT;4;;;
148;Fresh fruit;Bananas half ripe -green;UNIT;1.1;;;
149;Fresh fruit;Bananas ripe;UNIT;1.15;;;
150;Fresh fruit;Grapes green or red ;UNIT;7.8;;;
151;Fresh fruit;Grape red- seedles;UNIT;7.8;;;
152;Fresh fruit;Kiwi;UNIT;7.75;;;
153;Fresh fruit;Lemons;UNIT;4.2;;;
154;Fresh fruit;Lime;UNIT;5.15;;;
155;Fresh fruit;Mandarina ;UNIT;4.75;;;
156;Fresh fruit;Mango ;UNIT;3.9;;;
157;Fresh fruit;Oranges sweet  (local);UNIT;2.85;;;
158;Fresh fruit;Melons honey dew;UNIT;2.95;;;
159;Fresh fruit;Pears ;UNIT;5.2;;;
160;Fresh fruit;Pineapple ;UNIT;2;;;
161;Fresh fruit;Water melons ;UNIT;5.7;;;
162;Fresh fruit;Peach  ;UNIT;6.75;;;
163;Fresh fruit;Papaya;UNIT;2.55;;;
164;Fresh fruit;Plum ;UNIT;7.75;;;
165;Fresh fruit;Strawberry;UNIT;8.5;;;
